ITEM       NUMERO          BINARIO                                  HEXADECIMAL    
-------------------------------------------------------------------------------------
1          -39             -100111                                  -27            
2          -36             -100100                                  -24            
3          8               1000                                     8              
4          34              100010                                   22             
5          17              10001                                    11             
6          49              110001                                   31             
7          5               101                                      5              
8          0               0                                        0              
9          33              100001                                   21             
10         12              1100                                     C              
11         -6              -110                                     -6             
12         27              11011                                    1B             
13         -4              -100                                     -4             
14         -38             -100110                                  -26            
15         26              11010                                    1A             
16         49              110001                                   31             
17         29              11101                                    1D             
18         42              101010                                   2A             
19         -16             -10000                                   -10            
20         34              100010                                   22             
21         20              10100                                    14             
22         0               0                                        0              
23         25              11001                                    19             
24         45              101101                                   2D             
25         3               11                                       3              
26         -46             -101110                                  -2E            
27         -46             -101110                                  -2E            
28         29              11101                                    1D             
29         33              100001                                   21             
30         29              11101                                    1D             
31         26              11010                                    1A             
32         -5              -101                                     -5             
33         -36             -100100                                  -24            
34         12              1100                                     C              
35         45              101101                                   2D             
36         -50             -110010                                  -32            
37         0               0                                        0              
38         -6              -110                                     -6             
-------------------------------------------------------------------------------------
Tiempo de ejecucion: 0.000344 segundos
